position,name,title,description,semantic_type,semantic_type_basis,source_kind,section,codebook_pages,special_values,blank_meaning,temporal_role,leakage_risk,leakage_reason,competition_use,staff_question,train_missing_fraction,test_missing_fraction,missing_fraction_difference,train_unique_count,train_top_values,test_top_values,train_min,train_max,exact_duplicate_of
41,ASTHMA3,Ever Told Had Asthma,(Ever told) you had asthma?,categorical,A small set of documented response categories,core_survey,6.4,[18],[],No documented blank category,contemporaneous,none,,include,,0.0,0.0,0.0,4,"[{""value"": ""2"", ""count"": 283169, ""fraction"": 0.8629649382114069}, {""value"": ""1"", ""count"": 43982, ""fraction"": 0.1340362960366922}, {""value"": ""7"", ""count"": 951, ""fraction"": 0.002898197388270072}, {""value"": ""9"", ""count"": 33, ""fraction"": 0.00010056836363082268}]","[{""value"": ""2"", ""count"": 94403, ""fraction"": 0.863081578730835}, {""value"": ""1"", ""count"": 14677, ""fraction"": 0.13418480695563134}, {""value"": ""7"", ""count"": 283, ""fraction"": 0.0025873339489298677}, {""value"": ""9"", ""count"": 16, ""fraction"": 0.00014628036460380878}]",1.0,9.0,
42,ASTHNOW,Still Have Asthma,Do you still have asthma?,binary,Two documented substantive responses,core_survey,6.5,[19],"[{""code"": ""7"", ""label"": ""Don’t know/Not Sure""}, {""code"": ""9"", ""label"": ""Refused""}, {""code"": ""BLANK"", ""label"": ""Not asked or Missing""}]",Not asked or Missing,contemporaneous,none,,include,,0.8659637039633078,0.8658151930443687,0.00014851091893908208,5,"[{""value"": ""<MISSING>"", ""count"": 284153, ""fraction"": 0.8659637039633078}, {""value"": ""1"", ""count"": 29548, ""fraction"": 0.0900483032898045}, {""value"": ""2"", ""count"": 13084, ""fraction"": 0.03987383241653588}, {""value"": ""7"", ""count"": 1316, ""fraction"": 0.004010544440550383}, {""value"": ""9"", ""count"": 34, ""fraction"": 0.00010361588980145367}]","[{""value"": ""<MISSING>"", ""count"": 94702, ""fraction"": 0.8658151930443687}, {""value"": ""1.0"", ""count"": 9917, ""fraction"": 0.09066639848599822}, {""value"": ""2.0"", ""count"": 4349, ""fraction"": 0.039760831603872775}, {""value"": ""7.0"", ""count"": 400, ""fraction"": 0.0036570091150952195}, {""value"": ""9.0"", ""count"": 11, ""fraction"": 0.00010056775066511853}]",1.0,9.0,
43,CHCSCNCR,Ever told) you had skin cancer?,(Ever told) you had skin cancer?,binary,Two documented substantive responses,core_survey,6.6,[19],"[{""code"": ""7"", ""label"": ""Don’t know / Not sure""}, {""code"": ""9"", ""label"": ""Refused""}, {""code"": ""BLANK"", ""label"": ""Not asked or Missing""}]",Not asked or Missing,contemporaneous,none,,include,,3.0475261706309903e-06,0.0,3.0475261706309903e-06,5,"[{""value"": ""2"", ""count"": 296255, ""fraction"": 0.902844865680284}, {""value"": ""1"", ""count"": 31064, ""fraction"": 0.09466835296448108}, {""value"": ""7"", ""count"": 777, ""fraction"": 0.0023679278345802796}, {""value"": ""9"", ""count"": 38, ""fraction"": 0.00011580599448397764}, {""value"": ""<MISSING>"", ""count"": 1, ""fraction"": 3.0475261706309903e-06}]","[{""value"": ""2"", ""count"": 98966, ""fraction"": 0.9047989102112837}, {""value"": ""1"", ""count"": 10158, ""fraction"": 0.0928697464778431}, {""value"": ""7"", ""count"": 245, ""fraction"": 0.002239918082995822}, {""value"": ""9"", ""count"": 10, ""fraction"": 9.142522787738048e-05}]",1.0,9.0,
44,CHCOCNCR,Ever told) you had any other types of cancer?,(Ever told) you had any other types of cancer?,binary,Two documented substantive responses,core_survey,6.7,[19],"[{""code"": ""7"", ""label"": ""Don’t know / Not sure""}, {""code"": ""9"", ""label"": ""Refused""}]",No documented blank category,contemporaneous,none,,include,,0.0,0.0,0.0,4,"[{""value"": ""2"", ""count"": 295112, ""fraction"": 0.8993615432672528}, {""value"": ""1"", ""count"": 32369, ""fraction"": 0.09864537461715453}, {""value"": ""7"", ""count"": 587, ""fraction"": 0.0017888978621603913}, {""value"": ""9"", ""count"": 67, ""fraction"": 0.00020418425343227635}]","[{""value"": ""2"", ""count"": 98607, ""fraction"": 0.9015167445304857}, {""value"": ""1"", ""count"": 10543, ""fraction"": 0.09638961775112224}, {""value"": ""7"", ""count"": 208, ""fraction"": 0.001901644739849514}, {""value"": ""9"", ""count"": 21, ""fraction"": 0.00019199297854249903}]",1.0,9.0,
45,CHCCOPD1,"Ever told) you have chronic obstructive pulmonary disease, emphysema or chronic bronchitis?","(Ever told) you have Chronic Obstructive Pulmonary Disease or COPD, emphysema or chronic bronchitis?",binary,Two documented substantive responses,core_survey,6.8,[20],"[{""code"": ""7"", ""label"": ""Don’t know / Not sure""}, {""code"": ""9"", ""label"": ""Refused""}]",No documented blank category,contemporaneous,none,,include,,0.0,0.0,0.0,4,"[{""value"": ""2"", ""count"": 300402, ""fraction"": 0.9154829567098908}, {""value"": ""1"", ""count"": 26186, ""fraction"": 0.07980252030414312}, {""value"": ""7"", ""count"": 1502, ""fraction"": 0.004577384308287747}, {""value"": ""9"", ""count"": 45, ""fraction"": 0.00013713867767839458}]","[{""value"": ""2"", ""count"": 100290, ""fraction"": 0.9169036103822489}, {""value"": ""1"", ""count"": 8590, ""fraction"": 0.07853427074666984}, {""value"": ""7"", ""count"": 480, ""fraction"": 0.004388410938114263}, {""value"": ""9"", ""count"": 19, ""fraction"": 0.00017370793296702291}]",1.0,9.0,
46,HAVARTH3,Told Have Arthritis,"(Ever told) you have some form of arthritis, rheumatoid arthritis, gout, lupus, or fibromyalgia? (Arthritis diagnoses include: rheumatism, polymyalgia rheumatica; osteoarthritis (not osteporosis); tendonitis, bursitis, bunion, tennis elbow; carpal tunnel syndrome, tarsal tunnel syndrome; joint infection, etc.)",binary,Two documented substantive responses,core_survey,6.9,[20],"[{""code"": ""7"", ""label"": ""Don’t know/Not Sure""}, {""code"": ""9"", ""label"": ""Refused""}, {""code"": ""BLANK"", ""label"": ""Not asked or Missing""}]",Not asked or Missing,contemporaneous,none,,include,,3.0475261706309903e-06,0.0,3.0475261706309903e-06,5,"[{""value"": ""2"", ""count"": 216696, ""fraction"": 0.6603867310710531}, {""value"": ""1"", ""count"": 109556, ""fraction"": 0.33387477714964875}, {""value"": ""7"", ""count"": 1789, ""fraction"": 0.005452024319258841}, {""value"": ""9"", ""count"": 93, ""fraction"": 0.0002834199338686821}, {""value"": ""<MISSING>"", ""count"": 1, ""fraction"": 3.0475261706309903e-06}]","[{""value"": ""2"", ""count"": 72290, ""fraction"": 0.6609129723255835}, {""value"": ""1"", ""count"": 36449, ""fraction"": 0.3332358130902641}, {""value"": ""7"", ""count"": 609, ""fraction"": 0.005567796377732472}, {""value"": ""9"", ""count"": 31, ""fraction"": 0.0002834182064198795}]",1.0,9.0,
47,ADDEPEV2,Ever told you had a depressive disorder,"(Ever told) you that you have a depressive disorder, including depression, major depression, dysthymia, or minor depression?",binary,Two documented substantive responses,core_survey,6.10,[20],"[{""code"": ""7"", ""label"": ""Don’t know/Not sure""}, {""code"": ""9"", ""label"": ""Refused""}]",No documented blank category,contemporaneous,none,,include,,0.0,0.0,0.0,4,"[{""value"": ""2"", ""count"": 264645, ""fraction"": 0.8065125634266385}, {""value"": ""1"", ""count"": 62040, ""fraction"": 0.18906852362594664}, {""value"": ""7"", ""count"": 1124, ""fraction"": 0.003425419415789233}, {""value"": ""9"", ""count"": 326, ""fraction"": 0.000993493531625703}]","[{""value"": ""2"", ""count"": 88199, ""fraction"": 0.8063613673557082}, {""value"": ""1"", ""count"": 20688, ""fraction"": 0.18914051143272476}, {""value"": ""7"", ""count"": 393, ""fraction"": 0.003593011455581053}, {""value"": ""9"", ""count"": 99, ""fraction"": 0.0009051097559860668}]",1.0,9.0,
48,CHCKIDNY,Ever told) you have kidney disease?,"(Ever told) you have kidney disease? Do NOT include kidney stones, bladder infection or incontinence.(Incontinence is not being able to control urine flow.)",binary,Two documented substantive responses,core_survey,6.11,[21],"[{""code"": ""7"", ""label"": ""Don’t know / Not sure""}, {""code"": ""9"", ""label"": ""Refused""}]",No documented blank category,contemporaneous,none,,include,,0.0,0.0,0.0,4,"[{""value"": ""2"", ""count"": 315671, ""fraction"": 0.9620156338092554}, {""value"": ""1"", ""count"": 11487, ""fraction"": 0.03500693312203818}, {""value"": ""7"", ""count"": 908, ""fraction"": 0.002767153762932939}, {""value"": ""9"", ""count"": 69, ""fraction"": 0.00021027930577353834}]","[{""value"": ""2"", ""count"": 105176, ""fraction"": 0.9615739767231369}, {""value"": ""1"", ""count"": 3881, ""fraction"": 0.03548213093921137}, {""value"": ""7"", ""count"": 298, ""fraction"": 0.0027244717907459384}, {""value"": ""9"", ""count"": 24, ""fraction"": 0.00021942054690571316}]",1.0,9.0,
49,DIABETE3,Ever told) you have diabetes,"(Ever told) you have diabetes (If ""Yes"" and respondent is female, ask ""Was this only when you were pregnant?"". If Respondent says pre-diabetes or borderline diabetes, use response code 4.)",categorical,A small set of documented response categories,core_survey,6.12,[21],"[{""code"": ""BLANK"", ""label"": ""Not asked or Missing""}]",Not asked or Missing,contemporaneous,none,,include,,1.523763085315495e-05,1.8285045575476097e-05,3.0474147223211463e-06,7,"[{""value"": ""3"", ""count"": 277049, ""fraction"": 0.8443140780471452}, {""value"": ""1"", ""count"": 42223, ""fraction"": 0.1286756975025523}, {""value"": ""4"", ""count"": 5709, ""fraction"": 0.017398326908132325}, {""value"": ""2"", ""count"": 2675, ""fraction"": 0.0081521325064379}, {""value"": ""7"", ""count"": 406, ""fraction"": 0.001237295625276182}, {""value"": ""9"", ""count"": 68, ""fraction"": 0.00020723177960290734}, {""value"": ""<MISSING>"", ""count"": 5, ""fraction"": 1.523763085315495e-05}]","[{""value"": ""3.0"", ""count"": 92315, ""fraction"": 0.843991991150038}, {""value"": ""1.0"", ""count"": 14155, ""fraction"": 0.12941241006043208}, {""value"": ""4.0"", ""count"": 1845, ""fraction"": 0.0168679545433767}, {""value"": ""2.0"", ""count"": 910, ""fraction"": 0.008319695736841624}, {""value"": ""7.0"", ""count"": 130, ""fraction"": 0.0011885279624059464}, {""value"": ""9.0"", ""count"": 22, ""fraction"": 0.00020113550133023705}, {""value"": ""<MISSING>"", ""count"": 2, ""fraction"": 1.8285045575476097e-05}]",1.0,9.0,
50,DIABAGE2,Age When Told Diabetic,How old were you when you were told you have diabetes?,count,"The variable records a number, duration, or frequency",core_survey,6.13,[21],"[{""code"": ""98"", ""label"": ""Don’t know/Not sure""}, {""code"": ""99"", ""label"": ""Refused""}, {""code"": ""BLANK"", ""label"": ""Not asked or Missing""}]",Not asked or Missing,contemporaneous,none,,include,,0.8713334450759596,0.870587589939568,0.0007458551363915822,99,"[{""value"": ""<MISSING>"", ""count"": 285915, ""fraction"": 0.8713334450759596}, {""value"": ""50"", ""count"": 3565, ""fraction"": 0.01086443079829948}, {""value"": ""60"", ""count"": 2814, ""fraction"": 0.008575738644155607}, {""value"": ""98"", ""count"": 2574, ""fraction"": 0.007844332363204169}, {""value"": ""55"", ""count"": 2560, ""fraction"": 0.007801666996815335}, {""value"": ""40"", ""count"": 2087, ""fraction"": 0.0063601871181068765}, {""value"": ""45"", ""count"": 1906, ""fraction"": 0.005808584881222667}, {""value"": ""65"", ""count"": 1792, ""fraction"": 0.005461166897770734}, {""value"": ""70"", ""count"": 1227, ""fraction"": 0.003739314611364225}, {""value"": ""58"", ""count"": 1046, ""fraction"": 0.0031877123744800157}]","[{""value"": ""<MISSING>"", ""count"": 95224, ""fraction"": 0.870587589939568}, {""value"": ""50.0"", ""count"": 1222, ""fraction"": 0.011172162846615895}, {""value"": ""60.0"", ""count"": 926, ""fraction"": 0.008465976101445434}, {""value"": ""98.0"", ""count"": 915, ""fraction"": 0.008365408350780314}, {""value"": ""55.0"", ""count"": 851, ""fraction"": 0.007780286892365079}, {""value"": ""40.0"", ""count"": 704, ""fraction"": 0.006436336042567586}, {""value"": ""45.0"", ""count"": 624, ""fraction"": 0.005704934219548543}, {""value"": ""65.0"", ""count"": 584, ""fraction"": 0.00533923330803902}, {""value"": ""70.0"", ""count"": 396, ""fraction"": 0.003620439023944267}, {""value"": ""58.0"", ""count"": 339, ""fraction"": 0.0030993152250431985}]",1.0,99.0,
51,SEX,Respondents Sex,Indicate sex of respondent.,binary,Two documented substantive responses,core_survey,7.1,[22],[],No documented blank category,contemporaneous,none,,include,,0.0,0.0,0.0,2,"[{""value"": ""2"", ""count"": 189352, ""fraction"": 0.5770551754613192}, {""value"": ""1"", ""count"": 138783, ""fraction"": 0.4229448245386807}]","[{""value"": ""2"", ""count"": 62978, ""fraction"": 0.5757778001261669}, {""value"": ""1"", ""count"": 46401, ""fraction"": 0.4242221998738332}]",1.0,2.0,
52,MARITAL,Marital Status,Are you: (marital status),categorical,Named categories without a useful numeric distance,core_survey,7.6,[22],"[{""code"": ""9"", ""label"": ""Refused""}]",No documented blank category,contemporaneous,none,,include,,0.0,0.0,0.0,7,"[{""value"": ""1"", ""count"": 173520, ""fraction"": 0.5288067411278894}, {""value"": ""5"", ""count"": 50506, ""fraction"": 0.1539183567738888}, {""value"": ""2"", ""count"": 44248, ""fraction"": 0.13484693799808006}, {""value"": ""3"", ""count"": 41673, ""fraction"": 0.12699955810870525}, {""value"": ""6"", ""count"": 9375, ""fraction"": 0.028570557849665532}, {""value"": ""4"", ""count"": 6575, ""fraction"": 0.020037484571898762}, {""value"": ""9"", ""count"": 2238, ""fraction"": 0.006820363569872157}]","[{""value"": ""1"", ""count"": 58172, ""fraction"": 0.5318388356082977}, {""value"": ""5"", ""count"": 16652, ""fraction"": 0.152241289461414}, {""value"": ""2"", ""count"": 14568, ""fraction"": 0.13318827197176789}, {""value"": ""3"", ""count"": 13796, ""fraction"": 0.1261302443796341}, {""value"": ""6"", ""count"": 3176, ""fraction"": 0.029036652373856043}, {""value"": ""4"", ""count"": 2259, ""fraction"": 0.02065295897750025}, {""value"": ""9"", ""count"": 756, ""fraction"": 0.006911747227529965}]",1.0,9.0,
53,EDUCA,Education Level,What is the highest grade or year of school you completed?,ordinal,The documented responses have a natural order,core_survey,7.7,[22],"[{""code"": ""9"", ""label"": ""Refused""}]",No documented blank category,contemporaneous,none,,include,,0.0,0.0,0.0,7,"[{""value"": ""6"", ""count"": 120704, ""fraction"": 0.36784859889984306}, {""value"": ""4"", ""count"": 91317, ""fraction"": 0.2782909473235101}, {""value"": ""5"", ""count"": 89628, ""fraction"": 0.2731436756213144}, {""value"": ""3"", ""count"": 16585, ""fraction"": 0.05054322153991497}, {""value"": ""2"", ""count"": 8176, ""fraction"": 0.024916573971078975}, {""value"": ""9"", ""count"": 1272, ""fraction"": 0.0038764532890426195}, {""value"": ""1"", ""count"": 453, ""fraction"": 0.0013805293552958387}]","[{""value"": ""6"", ""count"": 40131, ""fraction"": 0.36689858199471564}, {""value"": ""4"", ""count"": 30521, ""fraction"": 0.279038938004553}, {""value"": ""5"", ""count"": 29909, ""fraction"": 0.2734437140584573}, {""value"": ""3"", ""count"": 5470, ""fraction"": 0.05000959964892712}, {""value"": ""2"", ""count"": 2754, ""fraction"": 0.025178507757430586}, {""value"": ""9"", ""count"": 451, ""fraction"": 0.004123277777269859}, {""value"": ""1"", ""count"": 143, ""fraction"": 0.001307380758646541}]",1.0,9.0,
54,RENTHOM1,Own or Rent Home,Do you own or rent your home? (Home is defined as the place where you live most of the time/the majority of the year.),categorical,A small set of documented response categories,core_survey,7.8,[23],"[{""code"": ""7"", ""label"": ""Don’t know/Not Sure""}, {""code"": ""9"", ""label"": ""Refused""}]",No documented blank category,contemporaneous,none,,include,,0.0,0.0,0.0,5,"[{""value"": ""1"", ""count"": 235483, ""fraction"": 0.7176406052386974}, {""value"": ""2"", ""count"": 75009, ""fraction"": 0.22859189053285994}, {""value"": ""3"", ""count"": 15373, ""fraction"": 0.04684961982111022}, {""value"": ""9"", ""count"": 1742, ""fraction"": 0.005308790589239185}, {""value"": ""7"", ""count"": 528, ""fraction"": 0.001609093818093163}]","[{""value"": ""1"", ""count"": 78656, ""fraction"": 0.719114272392324}, {""value"": ""2"", ""count"": 24931, ""fraction"": 0.2279322356210973}, {""value"": ""3"", ""count"": 5013, ""fraction"": 0.04583146673493084}, {""value"": ""9"", ""count"": 589, ""fraction"": 0.005384945921977711}, {""value"": ""7"", ""count"": 190, ""fraction"": 0.0017370793296702291}]",1.0,9.0,
55,NUMHHOL2,Household Telephones,Do you have more than one telephone number in your household? Do not include cell phones or numbers that are only used by a computer or fax machine.,categorical,A small set of documented response categories,core_survey,7.11,[23],"[{""code"": ""BLANK"", ""label"": ""Not asked or Missing""}]",Not asked or Missing,contemporaneous,none,,include,,0.4248708610785195,0.4213148776273325,0.003555983451187017,5,"[{""value"": ""2"", ""count"": 178114, ""fraction"": 0.5428070763557682}, {""value"": ""<MISSING>"", ""count"": 139415, ""fraction"": 0.4248708610785195}, {""value"": ""1"", ""count"": 9890, ""fraction"": 0.030140033827540495}, {""value"": ""9"", ""count"": 545, ""fraction"": 0.0016609017629938896}, {""value"": ""7"", ""count"": 171, ""fraction"": 0.0005211269751778994}]","[{""value"": ""2.0"", ""count"": 59840, ""fraction"": 0.5470885636182449}, {""value"": ""<MISSING>"", ""count"": 46083, ""fraction"": 0.4213148776273325}, {""value"": ""1.0"", ""count"": 3238, ""fraction"": 0.0296034887866958}, {""value"": ""9.0"", ""count"": 165, ""fraction"": 0.001508516259976778}, {""value"": ""7.0"", ""count"": 53, ""fraction"": 0.0004845537077501166}]",1.0,9.0,
56,NUMPHON2,Residential Phones,How many of these telephone numbers are residential numbers?,count,"The variable records a number, duration, or frequency",core_survey,7.12,[24],"[{""code"": ""7"", ""label"": ""Don’t know/Not Sure""}, {""code"": ""9"", ""label"": ""Refused""}, {""code"": ""BLANK"", ""label"": ""Not asked or Missing""}]",Not asked or Missing,contemporaneous,none,,include,,0.9698599661724595,0.9703965112133042,0.0005365450408446604,9,"[{""value"": ""<MISSING>"", ""count"": 318245, ""fraction"": 0.9698599661724595}, {""value"": ""1"", ""count"": 5004, ""fraction"": 0.015249820957837475}, {""value"": ""2"", ""count"": 3978, ""fraction"": 0.01212305910677008}, {""value"": ""3"", ""count"": 533, ""fraction"": 0.0016243314489463177}, {""value"": ""7"", ""count"": 113, ""fraction"": 0.0003443704572813019}, {""value"": ""9"", ""count"": 106, ""fraction"": 0.00032303777408688495}, {""value"": ""4"", ""count"": 97, ""fraction"": 0.00029561003855120603}, {""value"": ""5"", ""count"": 32, ""fraction"": 9.752083746019169e-05}, {""value"": ""6"", ""count"": 27, ""fraction"": 8.228320660703673e-05}]","[{""value"": ""<MISSING>"", ""count"": 106141, ""fraction"": 0.9703965112133042}, {""value"": ""1.0"", ""count"": 1621, ""fraction"": 0.014820029438923377}, {""value"": ""2.0"", ""count"": 1321, ""fraction"": 0.012077272602601961}, {""value"": ""3.0"", ""count"": 162, ""fraction"": 0.001481088691613564}, {""value"": ""9.0"", ""count"": 47, ""fraction"": 0.0004296985710236883}, {""value"": ""4.0"", ""count"": 40, ""fraction"": 0.00036570091150952194}, {""value"": ""7.0"", ""count"": 39, ""fraction"": 0.0003565583887217839}, {""value"": ""5.0"", ""count"": 5, ""fraction"": 4.571261393869024e-05}, {""value"": ""6.0"", ""count"": 3, ""fraction"": 2.7427568363214145e-05}]",1.0,9.0,
57,CPDEMO1,Do you have a cell phone for personal use?,Do you have a cell phone for personal use? Please include cell phones used for both business and personal use,binary,Two documented substantive responses,core_survey,7.13,[24],"[{""code"": ""7"", ""label"": ""Don’t know/Not sure""}, {""code"": ""9"", ""label"": ""Refused""}, {""code"": ""BLANK"", ""label"": ""Not asked or Missing""}]",Not asked or Missing,contemporaneous,none,,include,,0.4248708610785195,0.4213148776273325,0.003555983451187017,5,"[{""value"": ""1"", ""count"": 152576, ""fraction"": 0.464979353010194}, {""value"": ""<MISSING>"", ""count"": 139415, ""fraction"": 0.4248708610785195}, {""value"": ""2"", ""count"": 35186, ""fraction"": 0.10723025583982203}, {""value"": ""9"", ""count"": 835, ""fraction"": 0.002544684352476877}, {""value"": ""7"", ""count"": 123, ""fraction"": 0.0003748457189876118}]","[{""value"": ""1.0"", ""count"": 50959, ""fraction"": 0.4658938187403432}, {""value"": ""<MISSING>"", ""count"": 46083, ""fraction"": 0.4213148776273325}, {""value"": ""2.0"", ""count"": 12037, ""fraction"": 0.11004854679600289}, {""value"": ""9.0"", ""count"": 261, ""fraction"": 0.0023861984475996305}, {""value"": ""7.0"", ""count"": 39, ""fraction"": 0.0003565583887217839}]",1.0,9.0,
58,VETERAN3,Are You A Veteran,"Have you ever served on active duty in the United States Armed Forces, either in the regular military or in a National Guard or military reserve unit? (Active duty does not include training for the Reserves or National Guard, but DOES include activation, for example, for the Persian Gulf War.)",binary,Two documented substantive responses,core_survey,7.14,[25],"[{""code"": ""7"", ""label"": ""Don’t know/Not Sure""}, {""code"": ""9"", ""label"": ""Refused""}, {""code"": ""BLANK"", ""label"": ""Not asked or Missing""}]",Not asked or Missing,contemporaneous,none,,include,,3.0475261706309903e-06,4.571261393869024e-05,4.266508776805925e-05,5,"[{""value"": ""2"", ""count"": 284580, ""fraction"": 0.8672649976381672}, {""value"": ""1"", ""count"": 42935, ""fraction"": 0.13084553613604158}, {""value"": ""9"", ""count"": 496, ""fraction"": 0.0015115729806329712}, {""value"": ""7"", ""count"": 123, ""fraction"": 0.0003748457189876118}, {""value"": ""<MISSING>"", ""count"": 1, ""fraction"": 3.0475261706309903e-06}]","[{""value"": ""2.0"", ""count"": 94944, ""fraction"": 0.8680276835590013}, {""value"": ""1.0"", ""count"": 14256, ""fraction"": 0.13033580486199361}, {""value"": ""9.0"", ""count"": 140, ""fraction"": 0.0012799531902833268}, {""value"": ""7.0"", ""count"": 34, ""fraction"": 0.00031084577478309366}, {""value"": ""<MISSING>"", ""count"": 5, ""fraction"": 4.571261393869024e-05}]",1.0,9.0,
59,EMPLOY1,Employment Status,Are you currently…?,categorical,Named categories without a useful numeric distance,core_survey,7.15,[25],"[{""code"": ""9"", ""label"": ""Refused""}]",No documented blank category,contemporaneous,none,,include,,0.0,0.0,0.0,9,"[{""value"": ""1"", ""count"": 133994, ""fraction"": 0.40835022170752894}, {""value"": ""7"", ""count"": 98129, ""fraction"": 0.29905069559784847}, {""value"": ""2"", ""count"": 27202, ""fraction"": 0.08289880689350419}, {""value"": ""8"", ""count"": 23455, ""fraction"": 0.07147972633214987}, {""value"": ""5"", ""count"": 20089, ""fraction"": 0.06122175324180596}, {""value"": ""6"", ""count"": 8745, ""fraction"": 0.02665061636216801}, {""value"": ""3"", ""count"": 7030, ""fraction"": 0.021424108979535863}, {""value"": ""4"", ""count"": 6682, ""fraction"": 0.020363569872156276}, {""value"": ""9"", ""count"": 2809, ""fraction"": 0.008560501013302451}]","[{""value"": ""1"", ""count"": 44494, ""fraction"": 0.4067874089176167}, {""value"": ""7"", ""count"": 32738, ""fraction"": 0.29930791102496823}, {""value"": ""2"", ""count"": 9211, ""fraction"": 0.08421177739785517}, {""value"": ""8"", ""count"": 7797, ""fraction"": 0.07128425017599356}, {""value"": ""5"", ""count"": 6797, ""fraction"": 0.06214172738825551}, {""value"": ""6"", ""count"": 2747, ""fraction"": 0.025114510097916418}, {""value"": ""3"", ""count"": 2445, ""fraction"": 0.02235346821601953}, {""value"": ""4"", ""count"": 2274, ""fraction"": 0.02079009681931632}, {""value"": ""9"", ""count"": 876, ""fraction"": 0.00800884996205853}]",1.0,9.0,
60,CHILDREN,Number of Children in Household,How many children less than 18 years of age live in your household?,count,"The variable records a number, duration, or frequency",core_survey,7.16,[25],"[{""code"": ""99"", ""label"": ""Refused""}, {""code"": ""BLANK"", ""label"": ""Not asked or Missing""}]",Not asked or Missing,contemporaneous,none,,include,,9.14257851189297e-06,9.142522787738048e-06,5.572415492160012e-11,26,"[{""value"": ""88"", ""count"": 240617, ""fraction"": 0.733286604598717}, {""value"": ""1"", ""count"": 34419, ""fraction"": 0.10489280326694805}, {""value"": ""2"", ""count"": 30346, ""fraction"": 0.09248022917396803}, {""value"": ""3"", ""count"": 12905, ""fraction"": 0.03932832523199293}, {""value"": ""4"", ""count"": 4752, ""fraction"": 0.014481844362838467}, {""value"": ""99"", ""count"": 2724, ""fraction"": 0.008301461288798818}, {""value"": ""5"", ""count"": 1515, ""fraction"": 0.00461700214850595}, {""value"": ""6"", ""count"": 529, ""fraction"": 0.0016121413442637938}, {""value"": ""7"", ""count"": 180, ""fraction"": 0.0005485547107135783}, {""value"": ""8"", ""count"": 70, ""fraction"": 0.00021332683194416933}]","[{""value"": ""88.0"", ""count"": 80124, ""fraction"": 0.7325354958447234}, {""value"": ""1.0"", ""count"": 11674, ""fraction"": 0.10672981102405397}, {""value"": ""2.0"", ""count"": 10083, ""fraction"": 0.09218405726876275}, {""value"": ""3.0"", ""count"": 4328, ""fraction"": 0.039568838625330276}, {""value"": ""4.0"", ""count"": 1576, ""fraction"": 0.014408615913475165}, {""value"": ""99.0"", ""count"": 839, ""fraction"": 0.007670576618912223}, {""value"": ""5.0"", ""count"": 467, ""fraction"": 0.004269558141873669}, {""value"": ""6.0"", ""count"": 181, ""fraction"": 0.0016547966245805867}, {""value"": ""7.0"", ""count"": 60, ""fraction"": 0.0005485513672642829}, {""value"": ""8.0"", ""count"": 26, ""fraction"": 0.00023770559248118925}]",1.0,99.0,
61,INCOME2,Income Level,"Is your annual household income from all sources: (If respondent refuses at any income level, code ""Refused."")",ordinal,The documented responses have a natural order,core_survey,7.17,[26],"[{""code"": ""77"", ""label"": ""Don’t know/Not sure""}, {""code"": ""99"", ""label"": ""Refused""}, {""code"": ""BLANK"", ""label"": ""Not asked or Missing""}]",Not asked or Missing,contemporaneous,none,,include,,0.007530437167629177,0.007186022911162106,0.000344414256467071,11,"[{""value"": ""8"", ""count"": 86314, ""fraction"": 0.2630441738918433}, {""value"": ""7"", ""count"": 43382, ""fraction"": 0.13220778033431363}, {""value"": ""6"", ""count"": 38827, ""fraction"": 0.11832629862708946}, {""value"": ""99"", ""count"": 30206, ""fraction"": 0.0920535755100797}, {""value"": ""5"", ""count"": 29217, ""fraction"": 0.08903957212732565}, {""value"": ""77"", ""count"": 25917, ""fraction"": 0.07898273576424338}, {""value"": ""4"", ""count"": 24059, ""fraction"": 0.073320432139211}, {""value"": ""3"", ""count"": 19762, ""fraction"": 0.06022521218400963}, {""value"": ""2"", ""count"": 14431, ""fraction"": 0.04397885016837582}, {""value"": ""1"", ""count"": 13549, ""fraction"": 0.041290932085879285}]","[{""value"": ""8.0"", ""count"": 28671, ""fraction"": 0.2621252708472376}, {""value"": ""7.0"", ""count"": 14483, ""fraction"": 0.13241115753481014}, {""value"": ""6.0"", ""count"": 12878, ""fraction"": 0.11773740846049059}, {""value"": ""99.0"", ""count"": 10224, ""fraction"": 0.09347315298183381}, {""value"": ""5.0"", ""count"": 9625, ""fraction"": 0.08799678183197872}, {""value"": ""77.0"", ""count"": 8612, ""fraction"": 0.07873540624800007}, {""value"": ""4.0"", ""count"": 7948, ""fraction"": 0.07266477111694201}, {""value"": ""3.0"", ""count"": 6704, ""fraction"": 0.061291472768995874}, {""value"": ""2.0"", ""count"": 4833, ""fraction"": 0.04418581263313799}, {""value"": ""1.0"", ""count"": 4615, ""fraction"": 0.04219274266541109}]",1.0,99.0,
